id_municipio_endereco,qtd_vacinados,qtd_primeira_dose,qtd_segunda_dose
1302603,5961453,2903692,2596786
3104700,38018,18720,16599
3204906,376522,176800,156533
5218508,148909,74239,65913
3544004,134728,60932,62688
4321477,21512,9557,9216
4214805,235246,111781,104940
5107909,449574,232883,198757
1302553,46864,22589,19869
2908408,191357,95702,83181
3301405,65644,31406,28271
3304706,89365,46612,37044
3515707,571112,253950,285218
4213153,12831,5821,5652
5103056,26692,13560,12109
3163508,21144,10155,9255
4220000,47425,22217,20386
3140308,16037,7457,7020
5208301,17044,8154,7468
1502103,297832,158511,131677
1600535,23792,13279,9593
2510204,21272,10173,9386
4219507,166294,78951,73947
2911105,69869,34648,30150
4124608,20235,9986,8939
3171303,241870,123011,104143
2109007,63307,30262,27474
4304630,201779,95129,86232
5004106,31069,14525,13072
4322327,17516,7789,7523
1303106,45773,25398,18709
2504405,61805,30008,26628
3203700,71998,31617,29760
4217402,56425,26776,25921
3539103,60165,28304,28759
2911857,60249,31103,25508
1301654,21384,10853,9022
4310405,25425,11342,10879
4314472,16660,7400,7086
4314555,12323,5231,5058
3121209,35155,16965,15578
4215703,94902,44796,41311
4201109,15041,6957,6758
3155108,19605,8956,8399
3104304,49289,23046,21478
3161205,31165,13984,13551
3153806,8689,3811,3650
3143500,33098,15125,14439
3120839,15130,7636,6219
4318457,10961,4642,4528
4302204,29935,13049,12808
5221908,14602,6821,6320
3112604,61322,28182,26626
4102901,58852,28700,26522
5105606,42888,22222,19053
2510659,7320,3290,3061
5103361,13235,6362,5798
2914109,35418,17555,15717
3121506,15929,7012,6759
3120870,22538,11459,9849
2311959,44849,22537,18805
3202652,40207,19254,16809
3113701,72569,34023,31121
2603504,54607,26853,23739
2605152,60028,27443,25453
4320552,24892,11374,10733
3145372,14233,7240,5904
5100409,34450,16571,15138
1101500,29191,14796,12546
1101476,10824,5288,4734
2701357,18838,9791,8128
3126752,17726,8263,7681
2210052,17774,8733,8195
4217758,10502,4757,4605
4320321,11509,4978,4822
3536901,12618,5091,6025
4306700,14396,6105,5874
2510709,7787,3551,3317
2411700,10926,5395,4808
4306379,11864,5332,5139
5107263,11498,5527,4970
5202601,15166,6820,6406
5107156,7832,3636,3442
3126109,268923,124918,117165
3159605,170192,78499,76264
3302858,431153,207697,187587
3131703,428672,198891,187273
3505708,1222944,543275,618787
4309902,30455,13334,12791
4103701,341917,163298,150166
1500305,62616,34368,26981
3512001,82140,41032,34843
2613503,102511,49199,43420
2600906,51149,26456,21702
4108601,114359,52384,49816
3550100,171070,72578,84571
3506508,543462,235256,273072
3102308,55733,25678,24296
3306008,266768,132279,120086
5102702,50335,26308,21801
3106804,8127,4278,3661
2502805,45411,21456,19488
4217600,52472,24308,22704
3519055,44816,20937,21575
3151008,32012,14653,14231
3504602,105545,46124,52022
2610400,66553,31606,28052
2303204,95607,51281,39627
1508308,78331,45599,31441
3305208,263390,131484,112104
4116109,48284,22167,20543
1300839,18027,9276,7794
3304755,112811,58136,49443
4314068,18494,8236,8001
1100700,25917,12973,11404
1101708,32724,15724,14172
3144003,89564,42964,38036
3535101,44094,19548,21542
3524600,74402,33801,35559
2206902,20996,9650,9269
4313003,18735,7396,7252
1200450,37661,19644,15954
2800506,49470,24641,21545
2504801,51206,24076,22491
3202702,60257,26350,24584
3520442,157383,68006,75494
3537156,17814,6669,9000
5205802,36859,17352,16104
2210003,70128,33409,30658
4315701,135976,61586,58342
4317301,105157,48971,45040
3512704,19697,8543,9669
2209203,16919,8751,7318
2301208,75722,37620,33204
2302305,100443,46336,42421
3541703,63442,27100,31949
2401453,68158,33456,30447
2403806,30409,14324,13723
4313037,22401,10174,9835
4125357,26235,12039,11434
2102309,55157,27534,23948
3121704,13417,6277,5862
5103254,44324,24684,18281
5106653,19150,9136,8589
5103205,91571,43470,39981
5101605,21049,9986,9044
5102850,17471,9146,7466
2927903,34951,16771,14846
2901353,55392,27207,24758
3119104,79123,37322,34167
3101631,18975,9554,8600
2105104,43151,22913,19079
3544806,24581,9871,12290
3114550,28987,13543,13077
3172103,17787,8262,7711
2410801,14381,6640,6402
2414456,9161,4763,3908
2807204,27046,12675,11766
2800704,12084,6896,4938
3168101,12687,6122,5591
3138658,30125,14063,12969
5214838,37652,18756,16505
2308351,55163,25698,23329
3150604,28337,13235,12414
2312809,20325,10017,8923
3127057,12540,6099,5465
2802601,16955,8254,7390
1400175,16885,9083,6860
2603108,56277,28497,24317
3524204,34879,15451,16030
1101468,7062,3387,2927
1702307,16259,8173,7230
3127073,18963,10075,7751
2210375,10474,5090,4708
4128807,21887,10233,9747
4126108,22643,10459,9935
2607109,16518,7697,6924
1506104,25969,14439,11156
4313391,16623,7267,7030
3113800,8862,4066,3877
3536570,8506,3671,4015
4322855,6930,3142,3006
4107207,135057,65602,60361
5220108,117508,56976,52810
3304300,192331,95270,83215
3549953,57879,27362,27172
2100477,66484,32955,28520
4209904,33041,16205,14658
4211900,552682,276288,247226
3540200,167312,79026,79608
3113404,252565,123315,107270
3150703,26382,12508,11380
4202909,413421,205555,187416
3159308,20461,9228,8914
3110608,105961,49997,46921
4302451,24624,11444,10888
4100509,70601,33125,31262
3168705,254606,119254,110817
2933257,18050,8827,7657
2906600,49860,22953,21841
2900306,33330,17215,13279
2916856,44263,22166,19700
2702900,99460,49540,44228
2508703,12253,5583,5316
3504503,385115,172079,181768
2202208,139120,69984,59427
4127403,41965,22662,19032
3203007,104029,48333,44117
3203601,22235,10114,9049
3520004,167323,76294,83301
3550407,156925,72587,71649
2908200,62951,30701,27702
2918209,49942,23469,21743
2932457,32289,16015,14175
3513603,97905,43015,48221
3521309,71528,31077,35874
3511607,72288,33045,35156
4310009,86601,39211,37533
3519907,47131,21033,22313
1300029,31641,16047,13749
4205175,11874,5398,5258
2906857,36469,17663,15768
2311405,232563,114108,99344
2300606,26824,12717,10576
2401305,27225,13252,11755
2411007,15886,7158,6946
2413508,17627,8504,7980
2701803,22875,11539,9964
5202155,18915,9577,7545
5218102,11150,5380,4867
3501202,24569,10698,11447
3534104,30021,12879,14425
3128006,116604,54360,51131
3139904,56459,26199,25045
3536802,25656,11159,12301
3135308,16715,7854,7371
3139706,24115,11117,10344
2102408,28211,13718,12449
3136579,10140,5073,4575
3166956,9257,5093,3766
5214051,23296,11346,9947
2301406,44696,21390,20108
2305266,25433,15139,9898
3116506,27186,12671,11621
5218706,17476,8253,7687
2924603,41573,22632,17314
2603926,47559,21239,19665
2616209,53587,26698,23374
3170651,15207,7324,6703
2607000,44230,21342,19119
4315453,10342,4261,4179
4127965,47453,23230,21463
3128808,26098,12577,11594
1718550,9983,4786,4123
1715754,18020,8563,7690
3159704,11680,5469,5042
3108701,15160,7139,6665
3144656,33186,15986,14434
2805307,24064,11972,10451
2509503,17294,8234,7631
4209458,4965,2213,2118
5215231,167177,86073,75531
4304606,1171544,545456,507083
2907202,211876,102127,92093
5203104,11052,5468,4683
2517001,36586,17002,15906
2924009,362422,179357,164384
2613909,254511,122981,109465
3300407,442357,229673,183343
3304201,484489,226591,208688
2102002,55643,29792,22989
2103158,15169,7963,6472
3550902,76977,28622,42536
3303708,88302,53395,33274
3149606,17969,8116,7543
2506251,24688,12842,10447
1101203,24492,11479,11135
3138005,25489,11419,11523
3555356,26048,11362,12655
3510005,139634,59915,66315
4313060,68818,32108,30013
1501303,349101,179790,156928
1716505,36022,18650,15869
1504455,33266,18300,14348
3525706,174032,74729,85768
4108205,33728,15356,14818
3516309,636359,298744,308238
1100908,11191,5257,4999
4204152,12968,5779,5595
4106803,55221,26641,24914
3163409,18507,8319,7794
2904407,16632,9165,7162
2912202,48971,24638,21914
5001904,87847,40078,38545
2207900,127289,62661,56491
4313201,86401,39403,37449
2806701,68512,36983,26809
2800100,7314,3540,3189
2806503,10342,5378,4325
2510402,22019,10495,9613
2916005,55218,26885,24230
3200359,25308,11658,10629
4103800,26168,12484,11618
3556958,7946,3673,3655
1300086,20750,10494,8987
3533205,27233,11326,13941
5206404,49897,24436,21741
5211701,22811,10647,9842
5212956,18507,8320,7852
3301108,83104,37305,35947
4303673,11962,5408,5192
4316006,78665,35937,33684
4312708,45865,21281,19790
4305124,22582,10718,10083
4322806,102051,46865,43235
1304302,43335,19798,19249
2210805,39022,18704,17456
4209607,47008,23527,21570
2311801,217660,108573,93060
2401800,39413,18685,16921
