ano,turno,id_municipio,sigla_partido,id_candidato_bd,resultado,QTD_CANDIDATOS_MUN,FL_SITUACAO,FL_OPOSICAO,PORC_VOTOS,QTD_CANDIDATOS_MUN_1,SOMA_OPOSICAO,SOMA_SITUACAO
2020,1,2930303,PT,835791,eleito,2,0,1,0.5085346747,2,1,1
2020,1,2930303,PSD,1454296,nao eleito,2,1,0,0.4914653253,2,1,1
2020,1,3115706,MDB,680997,eleito,2,1,0,0.5366374706,2,1,1
2020,1,3115706,PSB,700126,nao eleito,2,0,1,0.4633625294,2,1,1
2020,1,3120607,PP,604030,eleito,2,1,0,0.6392360292,2,1,1
2020,1,3120607,PDT,978934,nao eleito,2,0,1,0.3607639708,2,1,1
2020,1,3157252,PP,385576,eleito,2,1,0,0.5978996084,2,1,1
2020,1,3157252,PT, ,nao eleito,2,0,1,0.4021003916,2,1,1
2020,1,4113403,PSB,735605,nao eleito,2,0,1,0.2365029606,2,1,1
2020,1,4113403,PSD,965470,eleito,2,1,0,0.7634970394,2,1,1
2020,1,4315131,PDT,877395,eleito,2,0,1,0.5030591434,2,1,1
2020,1,4315131,PTB,775530,nao eleito,2,1,0,0.4969408566,2,1,1
2020,1,2106359,PDT,174374,nao eleito,2,0,1,0.4757204895,2,1,1
2020,1,2106359,DEM,639194,eleito,2,1,0,0.5242795105,2,1,1
2020,1,2202737,PT,61312,eleito,2,0,1,0.6432776077,2,1,1
2020,1,2202737,MDB,194960,nao eleito,2,1,0,0.3567223923,2,1,1
2020,1,4305116,PT,60863,nao eleito,2,0,1,0.4851898206,2,1,1
2020,1,4305116,PL,701093,eleito,2,1,0,0.5148101794,2,1,1
2020,1,4311643,PT,1246733,nao eleito,2,0,1,0.4684908789,2,1,1
2020,1,4311643,MDB,226065,eleito,2,1,0,0.5315091211,2,1,1
2020,1,2303402,PDT,209474,eleito,2,0,1,0.6570960594,2,1,1
2020,1,2303402,MDB,1134861,nao eleito,2,1,0,0.3429039406,2,1,1
2020,1,3163904,PSB,1552272,nao eleito,2,0,1,0.3784424045,2,1,1
2020,1,3163904,PSDB,1788608,eleito,2,1,0,0.6215575955,2,1,1
2020,1,4309803,PP,97173,eleito,2,1,0,0.5150987224,2,1,1
2020,1,4309803,PDT,1546198,nao eleito,2,0,1,0.4849012776,2,1,1
2020,1,4314134,PT,1001612,nao eleito,2,0,1,0.4268841395,2,1,1
2020,1,4314134,MDB,48621,eleito,2,1,0,0.5731158605,2,1,1
2020,1,2105476,PDT,806410,eleito,2,0,1,0.5314712443,2,1,1
2020,1,2105476,PTB,236196,nao eleito,2,1,0,0.4685287557,2,1,1
2020,1,2206951,PT,704081,eleito,2,0,1,0.5580474934,2,1,1
2020,1,2206951,MDB,227014,nao eleito,2,1,0,0.4419525066,2,1,1
2020,1,2304236,PDT,231456,nao eleito,2,0,1,0.4829773925,2,1,1
2020,1,2304236,MDB,1282520,eleito,2,1,0,0.5170226075,2,1,1
2020,1,2922102,PP,1693271,nao eleito,2,1,0,0.4778277352,2,1,1
2020,1,2922102,PSB,643775,eleito,2,0,1,0.5221722648,2,1,1
2020,1,3106408,MDB,1000979,eleito,2,1,0,0.717884131,2,1,1
2020,1,3106408,PSB,318432,nao eleito,2,0,1,0.282115869,2,1,1
2020,1,4311205,PSB,1386137,nao eleito,2,0,1,0.4732301446,2,1,1
2020,1,4311205,PSDB,500622,eleito,2,1,0,0.5267698554,2,1,1
2020,1,4318457,PDT,294699,nao eleito,2,0,1,0.4403807615,2,1,1
2020,1,4318457,PL,877270,eleito,2,1,0,0.5596192385,2,1,1
2020,1,4319737,PP,239752,eleito,2,1,0,0.5142995637,2,1,1
2020,1,4319737,PT,1724121,nao eleito,2,0,1,0.4857004363,2,1,1
2020,1,2202711,PP,891584,eleito,2,1,0,0.6220806794,2,1,1
2020,1,2202711,PSB,747595,nao eleito,2,0,1,0.3779193206,2,1,1
2020,1,2310308,PDT,620381,nao eleito,2,0,1,0.2958006013,2,1,1
2020,1,2310308,SOLIDARIEDADE,1163199,eleito,2,1,0,0.7041993987,2,1,1
2020,1,2921450,PT,333487,nao eleito,2,0,1,0.4293151131,2,1,1
2020,1,2921450,PSD,898623,eleito,2,1,0,0.5706848869,2,1,1
2020,1,3126752,PDT,902790,eleito,2,0,1,0.5353921837,2,1,1
2020,1,3126752,DEM,837514,nao eleito,2,1,0,0.4646078163,2,1,1
2020,1,3501301,PV,1267271,nao eleito,2,0,1,0.3966897195,2,1,1
2020,1,3501301,PSDB,54321,eleito,2,1,0,0.6033102805,2,1,1
2020,1,3543238,PSB,1359783,nao eleito,2,0,1,0.4882629108,2,1,1
2020,1,3543238,PSDB,651340,eleito,2,1,0,0.5117370892,2,1,1
2020,1,2302701,PDT,827554,eleito,2,0,1,0.590426584,2,1,1
2020,1,2302701,PSD,1368844,nao eleito,2,1,0,0.409573416,2,1,1
2020,1,2606705,REPUBLICANOS,410290,eleito,2,1,0,0.5879501385,2,1,1
2020,1,2606705,PSB,35169,nao eleito,2,0,1,0.4120498615,2,1,1
2020,1,2614600,PT,1257579,nao eleito,2,0,1,0.4935169178,2,1,1
2020,1,2614600,MDB,91438,eleito,2,1,0,0.5064830822,2,1,1
2020,1,2903003,PDT,309247,eleito,2,0,1,0.6931434599,2,1,1
2020,1,2903003,PSD,1374958,nao eleito,2,1,0,0.3068565401,2,1,1
2020,1,2925907,PT,846670,nao eleito,2,0,1,0.2845902433,2,1,1
2020,1,2925907,PL,1724177,eleito,2,1,0,0.7154097567,2,1,1
2020,1,3122009,PT,1560257,eleito,2,0,1,0.56538777,2,1,1
2020,1,3122009,DEM,299791,nao eleito,2,1,0,0.43461223,2,1,1
2020,1,4128633,DEM,641823,eleito,2,1,0,0.7540106952,2,1,1
2020,1,4128633,PSB,149456,nao eleito,2,0,1,0.2459893048,2,1,1
2020,1,4305124,PP,1741359,eleito,2,1,0,0.796360059,2,1,1
2020,1,4305124,PT,1735748,nao eleito,2,0,1,0.203639941,2,1,1
2020,1,4308003,PP,1559468,eleito,2,1,0,0.5323773247,2,1,1
2020,1,4308003,PT,390777,nao eleito,2,0,1,0.4676226753,2,1,1
2020,1,4308854,PDT,547550,eleito,2,0,1,0.5585215606,2,1,1
2020,1,4308854,PTB,581456,nao eleito,2,1,0,0.4414784394,2,1,1
2020,1,5106208,PT,160321,nao eleito,2,0,1,0.2636938202,2,1,1
2020,1,5106208,MDB,341014,eleito,2,1,0,0.7363061798,2,1,1
2020,1,2707008,PTB,1482831,eleito,2,1,0,0.5006993007,2,1,1
2020,1,2707008,PSB,781164,nao eleito,2,0,1,0.4993006993,2,1,1
