id_municipio,DOMICILIOS,TX_URBANI,TX_EE,TX_TV,TX_GELAD,TX_COMPUTADOR,TX_ESGOTO,TX_DIST_AGUA
2303907,3216.000000000009,0.7400497512437806,0.9702698375926724,0.8631221320697713,0.7398759309614218,0.6291741785017505,0.09746017386927593,0.6773985584994736
2306207,2307.0000000000045,0.5730385782401387,0.989654120902579,0.9466583496697614,0.8940933847865242,0.7078240987947724,0.02679268231473894,0.6060939652779952
2310605,2302.0000000000036,0.7940920938314505,0.9951540965638247,0.9126043623485735,0.7786578363260654,0.6554742864386832,0.5937788211633787,0.7425217634808247
2311231,1714.0000000000048,0.45799299883313815,0.9874053943460058,0.9252404461772797,0.9065788672257656,0.5251506309310221,0.010423963597817325,0.43723393598240956
2313757,4790.000000000007,0.5993736951983301,0.9829033462835087,0.9028383430182605,0.732420412445549,0.5640604368621988,0.07390178459243005,0.7728670300791354
4202131,1775.0000000000039,0.14647887323943648,0.9948964948679789,0.922983885276258,0.9225159596323721,0.5367674481693765,0.2819925419396703,0.10810498052945809
4204103,1419.000000000003,0.5123326286116993,0.9864564789189245,0.9282800007513454,0.9711135821814332,0.5022118202933019,0.14334530562205994,0.4999589854812612
4207601,1599.0000000000343,0.5590994371482171,0.9979957332617724,0.9709207893808175,0.9959704428779839,0.7192371000238185,0.6259714048496892,0.6798238716973471
4207684,1880.0000000000075,0.23882978723404247,0.9330655680377009,0.8420318462313092,0.8497578738453355,0.5606936134448011,0.1104659767563288,0.34698840655570873
4208955,537.0000000000018,0.4878957169459963,0.9977297546303331,0.954342024177555,0.9739116641510577,0.5513058825783839,0.2167331048686756,0.5850873625668418
4212239,1277.0000000000034,0.3923257635082221,0.9904839175503528,0.9198631496197142,0.9730608167533559,0.6270588379739891,0.1216801430033846,0.4178686518329735
4215356,1174.000000000076,0.3407155025553627,0.9895299872285743,0.8637778643567515,0.9294362900740449,0.6964940610656906,0.3318998270860436,0.481312906886101
4219101,1057.0000000000025,0.54399243140965,0.989529935920327,0.9513153846167535,0.9736713929274368,0.6085627133796548,0.5146943658524199,0.5302865966279838
4102752,1261.0000000000007,0.2799365582870743,0.9924130128457479,0.8678467539828866,0.9655594921909605,0.5376018911815816,0.025829244616718317,0.5212287872843862
4109203,1733.999999999811,0.8223760092272179,0.9982954641341334,0.9582390588421555,0.9936574362518091,0.6396911123326754,0.055900696826971505,0.8248725456885905
4110201,3132.0000000000027,0.5772669220945081,0.8659095341404751,0.7999112683127714,0.7789302507357265,0.7291030673598041,0.28560944500904367,0.6409161535286731
4115507,1513.0000000000036,0.7184401850627888,0.997835611961796,0.9264550633782144,0.984004232569252,0.7904202385516842,0.003243808813299861,0.8297253459396698
4123006,4083.0000000000023,0.537594905706589,0.9926857698209175,0.95878122192291,0.9856902428784406,0.8385070695882634,0.3470044725065668,0.6065620804432295
